hierarchy,name,description
industrial equipment & tools,industrial equipment & tools,
industrial equipment & tools > mining and well drilling machinery and accessories,mining and well drilling machinery and accessories,
industrial equipment & tools > mining and well drilling machinery and accessories > mining and quarrying machinery and equipment,mining and quarrying machinery and equipment,
industrial equipment & tools > mining and well drilling machinery and accessories > mining and quarrying machinery and equipment > cutting equipment,cutting equipment,
industrial equipment & tools > mining and well drilling machinery and accessories > mining and quarrying machinery and equipment > cutting equipment > continuous mining equipment,continuous mining equipment,
industrial equipment & tools > mining and well drilling machinery and accessories > mining and quarrying machinery and equipment > cutting equipment > longwall shears,longwall shears,
industrial equipment & tools > mining and well drilling machinery and accessories > mining and quarrying machinery and equipment > screens and feeding equipment,screens and feeding equipment,
industrial equipment & tools > mining and well drilling machinery and accessories > mining and quarrying machinery and equipment > crushers and breakers and grinders,crushers and breakers and grinders,
industrial equipment & tools > mining and well drilling machinery and accessories > mining and quarrying machinery and equipment > crushers and breakers and grinders > ball mills,ball mills,
industrial equipment & tools > mining and well drilling machinery and accessories > mining and quarrying machinery and equipment > mechanized ground support systems,mechanized ground support systems,
industrial equipment & tools > mining and well drilling machinery and accessories > mining and quarrying machinery and equipment > secondary rock breaking systems,secondary rock breaking systems,
industrial equipment & tools > mining and well drilling machinery and accessories > mining and quarrying machinery and equipment > exploration and development systems,exploration and development systems,
industrial equipment & tools > mining and well drilling machinery and accessories > mining and quarrying machinery and equipment > rock drills,rock drills,
industrial equipment & tools > mining and well drilling machinery and accessories > mining and quarrying machinery and equipment > explosive loading machinery,explosive loading machinery,
industrial equipment & tools > mining and well drilling machinery and accessories > mining and quarrying machinery and equipment > underground mining service vehicles,underground mining service vehicles,
industrial equipment & tools > mining and well drilling machinery and accessories > mining and quarrying machinery and equipment > underground mining service vehicles > personnel carriers,personnel carriers,
industrial equipment & tools > mining and well drilling machinery and accessories > mining and quarrying machinery and equipment > underground mining service vehicles > crane vehicles,crane vehicles,
industrial equipment & tools > mining and well drilling machinery and accessories > mining and quarrying machinery and equipment > underground mining service vehicles > flat deck material carriers,flat deck material carriers,
industrial equipment & tools > mining and well drilling machinery and accessories > mining and quarrying machinery and equipment > underground mining service vehicles > bulk material carriers,bulk material carriers,
industrial equipment & tools > mining and well drilling machinery and accessories > mining and quarrying machinery and equipment > underground mining service vehicles > utility service vehicles,utility service vehicles,
industrial equipment & tools > mining and well drilling machinery and accessories > mining and quarrying machinery and equipment > underground mining service vehicles > elevating platform vehicles or scissor lifts,elevating platform vehicles or scissor lifts,
industrial equipment & tools > mining and well drilling machinery and accessories > mining and quarrying machinery and equipment > underground mining service vehicles > underground mining service vehicle spare parts or accessories,underground mining service vehicle spare parts or accessories,
industrial equipment & tools > mining and well drilling machinery and accessories > well drilling and operation equipment,well drilling and operation equipment,
industrial equipment & tools > mining and well drilling machinery and accessories > well drilling and operation equipment > drilling and exploration equipment,drilling and exploration equipment,
industrial equipment & tools > mining and well drilling machinery and accessories > well drilling and operation equipment > drilling and exploration equipment > water well drilling equipment,water well drilling equipment,
industrial equipment & tools > mining and well drilling machinery and accessories > well drilling and operation equipment > drilling and exploration equipment > uranium exploration equipment,uranium exploration equipment,
industrial equipment & tools > mining and well drilling machinery and accessories > well drilling and operation equipment > drilling and operation machinery,drilling and operation machinery,
industrial equipment & tools > mining and well drilling machinery and accessories > well drilling and operation equipment > drilling and operation accessories,drilling and operation accessories,
industrial equipment & tools > mining and well drilling machinery and accessories > oil and gas drilling and exploration equipment,oil and gas drilling and exploration equipment,
industrial equipment & tools > mining and well drilling machinery and accessories > oil and gas drilling and exploration equipment > completion tools and equipment,completion tools and equipment,
industrial equipment & tools > mining and well drilling machinery and accessories > oil and gas drilling and exploration equipment > completion tools and equipment > plunger lift equipment,plunger lift equipment,
industrial equipment & tools > mining and well drilling machinery and accessories > oil and gas drilling and exploration equipment > drilling bits,drilling bits,
industrial equipment & tools > mining and well drilling machinery and accessories > oil and gas drilling and operation materials,oil and gas drilling and operation materials,
industrial equipment & tools > mining and well drilling machinery and accessories > oil and gas operating and production equipment,oil and gas operating and production equipment,
industrial equipment & tools > farming and fishing and forestry and wildlife machinery and accessories,farming and fishing and forestry and wildlife machinery and accessories,
industrial equipment & tools > farming and fishing and forestry and wildlife machinery and accessories > agricultural and forestry and landscape machinery and equipment,agricultural and forestry and landscape machinery and equipment,
industrial equipment & tools > farming and fishing and forestry and wildlife machinery and accessories > agricultural and forestry and landscape machinery and equipment > agricultural machinery for soil preparation,agricultural machinery for soil preparation,
industrial equipment & tools > farming and fishing and forestry and wildlife machinery and accessories > agricultural and forestry and landscape machinery and equipment > agricultural machinery for soil preparation > ploughs,ploughs,
industrial equipment & tools > farming and fishing and forestry and wildlife machinery and accessories > agricultural and forestry and landscape machinery and equipment > agricultural machinery for soil preparation > harrows,harrows,
industrial equipment & tools > farming and fishing and forestry and wildlife machinery and accessories > agricultural and forestry and landscape machinery and equipment > agricultural machinery for soil preparation > cultivators,cultivators,
industrial equipment & tools > farming and fishing and forestry and wildlife machinery and accessories > agricultural and forestry and landscape machinery and equipment > agricultural machinery for soil preparation > weeders,weeders,
industrial equipment & tools > farming and fishing and forestry and wildlife machinery and accessories > agricultural and forestry and landscape machinery and equipment > agricultural machinery for soil preparation > hoeing machines,hoeing machines,
