hierarchy,name,description
accumulators and unscramblers,accumulators and unscramblers,
accumulators and unscramblers > accumulators,accumulators ,
accumulators and unscramblers > accumulators > accumulating turntables,accumulating turntables ,
accumulators and unscramblers > accumulators > directional accumulators,directional accumulators ,
accumulators and unscramblers > accumulators > elevating accumulators,elevating accumulators ,
accumulators and unscramblers > accumulators > surge tables,surge tables ,
accumulators and unscramblers > unscramblers,unscramblers ,
accumulators and unscramblers > unscramblers > bulk bottle unscramblers,bulk bottle unscramblers ,
accumulators and unscramblers > unscramblers > disc unscramblers,disc unscramblers ,
accumulators and unscramblers > unscramblers > lane unscramblers and feeders,lane unscramblers and feeders ,
aerosol equipment,aerosol equipment,
air flow equipment,air flow equipment,
air flow equipment > air cleaning equipment,air cleaning equipment ,
air flow equipment > air cleaning equipment > air cleaners,air cleaners ,
air flow equipment > air cleaning equipment > dust collection,dust collection ,
air flow equipment > air cleaning equipment > laminar flow and fume hoods,laminar flow and fume hoods ,
air flow equipment > air cleaning equipment > pollution control equipment,pollution control equipment ,
air flow equipment > air compressors,air compressors ,
air flow equipment > air compressors > compressed air dryers,compressed air dryers ,
air flow equipment > air compressors > engine powered air compressors,engine powered air compressors ,
air flow equipment > air compressors > gas production and compression air compressors,gas production and compression air compressors ,
air flow equipment > air compressors > oil free air compressors,oil free air compressors ,
air flow equipment > air compressors > stationary air compressors,stationary air compressors ,
autoclaves and sterilizers,autoclaves and sterilizers,
autoclaves and sterilizers > depryogenation ovens,depryogenation ovens ,
autoclaves and sterilizers > sterilizers - industrial,sterilizers - industrial ,
bagging equipment,bagging equipment,
bagging equipment > bag sealers,bag sealers ,
bagging equipment > bag sealers > bag glue sealers,bag glue sealers ,
bagging equipment > bag sealers > bag stitchers,bag stitchers ,
bagging equipment > bag sealers > pinch bottom,pinch bottom ,
bagging equipment > bag sealers > plastic bag sealers,plastic bag sealers ,
bagging equipment > bag sealers > tyers and tin tie,tyers and tin tie ,
bagging equipment > bagging systems,bagging systems ,
bagging equipment > bagging systems > autobag systems,autobag systems ,
bagging equipment > bagging systems > bag fillers,bag fillers ,
bagging equipment > bagging systems > bagging systems - other,bagging systems - other ,
bagging equipment > bagging systems > pouch pro baggers,pouch pro baggers ,
bakery equipment,bakery equipment,
bakery equipment > baking equipment,baking equipment ,
bakery equipment > baking equipment > bakery ovens,bakery ovens ,
bakery equipment > baking equipment > bakery slicers,bakery slicers ,
bakery equipment > baking equipment > baking equipment - other,baking equipment - other ,
bakery equipment > baking equipment > proofers and yeast equipment,proofers and yeast equipment ,
bakery equipment > dough preparation,dough preparation ,
bakery equipment > dough preparation > bakery mixers,bakery mixers ,
bakery equipment > dough preparation > dividers and rounders,dividers and rounders ,
bakery equipment > dough preparation > dough prep - other,dough prep - other ,
bakery equipment > dough preparation > sheeters and sheeting lines,sheeters and sheeting lines ,
bakery equipment > panning and depanning,panning and depanning ,
bakery equipment > panning and depanning > depositors,depositors ,
bakery equipment > panning and depanning > encrusters,encrusters ,
bakery equipment > panning and depanning > pan greasers,pan greasers ,
bakery equipment > panning and depanning > panning -depanning - other,panning -depanning - other ,
bakery equipment > specialty baking equipment,specialty baking equipment ,
bakery equipment > specialty baking equipment > pasta and noodle equipment,pasta and noodle equipment ,
bakery equipment > specialty baking equipment > specialty - other,specialty - other ,
bakery equipment > specialty baking equipment > tortilla equipment,tortilla equipment ,
bakery equipment > sweet goods,sweet goods ,
bakery equipment > sweet goods > cookie equipment,cookie equipment ,
bakery equipment > sweet goods > donut equipment,donut equipment ,
bakery equipment > sweet goods > pie equipment,pie equipment ,
bakery equipment > sweet goods > sweet goods - other,sweet goods - other ,
bearings,bearings,
beverage equipment,beverage equipment,
"beverage equipment > brewery, wine and liquor equipment","brewery, wine and liquor equipment ",
beverage equipment > carbonated beverage equipment,carbonated beverage equipment ,
beverage equipment > coffee and tea equipment,coffee and tea equipment ,
beverage equipment > general beverage equipment,general beverage equipment ,
beverage equipment > juice equipment,juice equipment ,
biotech,biotech,
biotech > biotech lab,biotech lab ,
biotech > biotech manufacturing,biotech manufacturing ,
blister and skin packaging,blister and skin packaging,
blister and skin packaging > inline blister sealers,inline blister sealers ,
blister and skin packaging > rotary blister sealers,rotary blister sealers ,
blister and skin packaging > skin packagers,skin packagers ,
blister and skin packaging > thermoformers and vacuum formers,thermoformers and vacuum formers ,
boilers,boilers,
boilers > oil heaters,oil heaters ,
boilers > steam boilers,steam boilers ,
boilers > temperature controllers,temperature controllers ,
boilers > water heaters,water heaters ,
candy equipment,candy equipment,
candy equipment > candy coating,candy coating ,
candy equipment > candy cooling,candy cooling ,
candy equipment > candy equipment general,candy equipment general ,
candy equipment > candy equipment general > candy equipment - misc,candy equipment - misc ,
candy equipment > candy forming,candy forming ,
candy equipment > candy forming > candy cookers,candy cookers ,
candy equipment > candy forming > candy forming - other,candy forming - other ,
candy equipment > candy wrappers,candy wrappers ,
candy equipment > chocolate equipment,chocolate equipment ,
"candy equipment > chocolate equipment > chocolate equipment, other","chocolate equipment, other ",
"candy equipment > chocolate equipment > enrobers, chocolate coaters","enrobers, chocolate coaters ",
"candy equipment > chocolate equipment > melters, temperers and conches","melters, temperers and conches ",
candy equipment > chocolate equipment > molders,molders ,
"candy equipment > popcorn, nut and snackfood","popcorn, nut and snackfood ",
"candy equipment > popcorn, nut and snackfood > nut processing equipment",nut processing equipment ,
"candy equipment > popcorn, nut and snackfood > popcorn poppers",popcorn poppers ,
"candy equipment > popcorn, nut and snackfood > snackfood equipment - other",snackfood equipment - other ,
"candy equipment > popcorn, nut and snackfood > snackfood mixers and coaters",snackfood mixers and coaters ,
canning equipment,canning equipment,
canning equipment > atmospheric can seamers,atmospheric can seamers ,
canning equipment > can making equipment,can making equipment ,
canning equipment > can making equipment > metal can making,metal can making ,
canning equipment > filler-seamers,filler-seamers ,
canning equipment > steam flow can seamers,steam flow can seamers ,
canning equipment > vacuum can seamers,vacuum can seamers ,
cappers,cappers,
cappers > cap formers,cap formers ,
cappers > cap formers > crimp cappers,crimp cappers ,
cappers > cap formers > crowners,crowners ,
cappers > cap formers > ropp cappers,ropp cappers ,
cappers > press on cappers,press on cappers ,
cappers > press on cappers > overcappers,overcappers ,
cappers > press on cappers > snap cappers and pluggers,snap cappers and pluggers ,
cappers > screw cappers,screw cappers ,
cappers > screw cappers > cap tighteners and retorquers,cap tighteners and retorquers ,
cappers > screw cappers > chuck cappers,chuck cappers ,
cappers > screw cappers > lug and vacuum cappers,lug and vacuum cappers ,
"cappers > screw cappers > quill, spindle and inline cappers","quill, spindle and inline cappers ",
capsule equipment,capsule equipment,
capsule equipment > automatic capsule fillers,automatic capsule fillers ,
"capsule equipment > capsule equipment, misc","capsule equipment, misc ",
capsule equipment > capsule polishers,capsule polishers ,
capsule equipment > semi automatic capsule fillers,semi automatic capsule fillers ,
cartoners,cartoners,
cartoners > auto load cartoners,auto load cartoners ,
cartoners > carton closers,carton closers ,
cartoners > gable cartoners,gable cartoners ,
cartoners > hand load cartoners,hand load cartoners ,
case packaging equipment,case packaging equipment,
case packaging equipment > case erectors,case erectors ,
case packaging equipment > case erectors > bottom sealing case erectors,bottom sealing case erectors ,
case packaging equipment > case erectors > tray erectors and packers,tray erectors and packers ,
case packaging equipment > case erectors > wraparound casers,wraparound casers ,
case packaging equipment > case packers,case packers ,
case packaging equipment > case packers > bottom loading casers,bottom loading casers ,
case packaging equipment > case packers > drop casers,drop casers ,
case packaging equipment > case packers > horizontal casers,horizontal casers ,
case packaging equipment > case packers > robotic casers,robotic casers ,
case packaging equipment > case packers > uncasers and debaggers,uncasers and debaggers ,
case packaging equipment > case sealers,case sealers ,
case packaging equipment > case sealers > case staplers,case staplers ,
case packaging equipment > case sealers > case tapers,case tapers ,
case packaging equipment > case sealers > glue case sealers,glue case sealers ,
case packaging equipment > case sealers > hot melt and glue applicators,hot melt and glue applicators ,
cd- dvd equipment,cd- dvd equipment,
cd- dvd equipment > cd manufacturing,cd manufacturing ,
centrifuges,centrifuges,
centrifuges > horizontal centrifuges,horizontal centrifuges ,
