hierarchy,name,description
"broadcast, film and audio","broadcast, film and audio ",
"broadcast, film and audio > audio equipment",audio equipment ,
"broadcast, film and audio > camera 4k",camera 4k ,
"broadcast, film and audio > camera 5k",camera 5k ,
"broadcast, film and audio > cameras",cameras ,
"broadcast, film and audio > displays and monitors",displays and monitors ,
"broadcast, film and audio > lenses",lenses ,
"broadcast, film and audio > other broadcast equipment, film & audio","other broadcast equipment, film & audio ",
"broadcast, film and audio > satellite equipment",satellite equipment ,
"broadcast, film and audio > video tape recorders (vtr)",video tape recorders (vtr) ,
construction and mining,construction and mining ,
construction and mining > backhoe loaders,backhoe loaders ,
construction and mining > compactors / rollers,compactors / rollers ,
construction and mining > dozers,dozers ,
construction and mining > drilling equipment,drilling equipment ,
construction and mining > dumper trucks,dumper trucks ,
construction and mining > excavators,excavators ,
construction and mining > form work,form work ,
construction and mining > loaders,loaders ,
construction and mining > mining machines & aggregates,mining machines & aggregates ,
construction and mining > motor graders,motor graders ,
construction and mining > other construction machinery,other construction machinery ,
electronics,electronics ,
electronics > inspection equipment,inspection equipment ,
electronics > pcb - cleaning machines,pcb - cleaning machines ,
electronics > pcb - drilling and routing machines,pcb - drilling and routing machines ,
electronics > pcb - pick-and-place machines,pcb - pick-and-place machines ,
electronics > pcb - reflow ovens,pcb - reflow ovens ,
electronics > pcb - screen printing machines,pcb - screen printing machines ,
electronics > pcb - selective soldering,pcb - selective soldering ,
electronics > pcb - test and rework machines,pcb - test and rework machines ,
electronics > pcb - wave soldering,pcb - wave soldering ,
electronics > pcb miscellaneous,pcb miscellaneous ,
electronics > semiconductor - metrology equipment,semiconductor - metrology equipment ,
electronics > semiconductor - test and measurement equipment,semiconductor - test and measurement equipment ,
electronics > semiconductor - wafer equipment,semiconductor - wafer equipment ,
electronics > semiconductor miscellaneous,semiconductor miscellaneous ,
factory equipment - complete production units,factory equipment - complete production units ,
factory equipment - complete production units > food & beverage plant,food & beverage plant ,
factory equipment - complete production units > food processing production lines,food processing production lines ,
factory equipment - complete production units > miscellaneous production plants,miscellaneous production plants ,
factory equipment - complete production units > other energy equipment,other energy equipment ,
factory equipment - complete production units > packaging lines,packaging lines ,
factory equipment - complete production units > power plants,power plants ,
food processing machines,food processing machines ,
"food processing machines > bakery - coating, paning and breading machines","bakery - coating, paning and breading machines ",
"food processing machines > bakery - dough dividers, moulders and sheeting machines","bakery - dough dividers, moulders and sheeting machines ",
food processing machines > bakery - kneading machines,bakery - kneading machines ,
food processing machines > bakery - other machines,bakery - other machines ,
food processing machines > beaters / mixers / tumblers,beaters / mixers / tumblers ,
food processing machines > brine injection machines,brine injection machines ,
food processing machines > butchery -  bowl cutters,butchery -  bowl cutters ,
food processing machines > butchery - cutters / slicers / choppers / portioning machines,butchery - cutters / slicers / choppers / portioning machines ,
food processing machines > butchery - mincers / grinders,butchery - mincers / grinders ,
food processing machines > butchery - slaughterhouses,butchery - slaughterhouses ,
food processing machines > butchery - stuffers,butchery - stuffers ,
food processing machines > candy / sweets machines - miscellaneous machines,candy / sweets machines - miscellaneous machines ,
food processing machines > candy / sweets machines - simple / double twist wrapper,candy / sweets machines - simple / double twist wrapper ,
food processing machines > candy / sweets machines - cutting and wrapping machines,candy / sweets machines - cutting and wrapping machines ,
food processing machines > chocolate machines,chocolate machines ,
food processing machines > coating pans,coating pans ,
food processing machines > coffee roasters,coffee roasters ,
food processing machines > complete biscuit or croissant production lines,complete biscuit or croissant production lines ,
food processing machines > complete bread production lines,complete bread production lines ,
food processing machines > complete pasta or pizza production lines,complete pasta or pizza production lines ,
