hierarchy,name,description
biopharma,biopharma,
biopharma > dental equipment and supplies,dental equipment and supplies,
biopharma > laboratory equipment,laboratory equipment,
biopharma > laboratory equipment > laboratory pumps and tubing,laboratory pumps and tubing,
biopharma > medical equipment and supplies,medical equipment and supplies,
biopharma > medical equipment and supplies > first aid,first aid,
"construction, mining and farming","construction, mining and farming",
"construction, mining and farming > agricultural and forestry equipment",agricultural and forestry equipment,
"construction, mining and farming > agricultural and forestry equipment > agriculture equip/commodities",agriculture equip/commodities,
"construction, mining and farming > agricultural and forestry equipment > material handling equipment",material handling equipment,
"construction, mining and farming > agricultural and forestry equipment > nursery/horticulture/landscaping",nursery/horticulture/landscaping,
"construction, mining and farming > agricultural and forestry equipment > tractor - farm",tractor - farm,
"construction, mining and farming > construction components and supplies",construction components and supplies,
"construction, mining and farming > construction components and supplies > builders supplies",builders supplies,
"construction, mining and farming > construction components and supplies > flooring",flooring,
"construction, mining and farming > construction components and supplies > lumber",lumber,
"construction, mining and farming > heavy equipment and construction",heavy equipment and construction,
"construction, mining and farming > heavy equipment and construction > articulated dump trucks",articulated dump trucks,
"construction, mining and farming > heavy equipment and construction > backhoes",backhoes,
"construction, mining and farming > heavy equipment and construction > compactors",compactors,
"construction, mining and farming > heavy equipment and construction > construction equipment, miscellaneous","construction equipment, miscellaneous",
"construction, mining and farming > heavy equipment and construction > cranes",cranes,
"construction, mining and farming > heavy equipment and construction > dozers",dozers,
"construction, mining and farming > heavy equipment and construction > excavators",excavators,
"construction, mining and farming > heavy equipment and construction > heavy equipment components and accessories",heavy equipment components and accessories,
"construction, mining and farming > heavy equipment and construction > loaders",loaders,
"construction, mining and farming > heavy equipment and construction > motor graders",motor graders,
"construction, mining and farming > heavy equipment and construction > scrapers",scrapers,
"construction, mining and farming > heavy equipment and construction > skid steers",skid steers,
"construction, mining and farming > highway / road equipment",highway / road equipment,
"construction, mining and farming > highway / road equipment > asphalt equipment",asphalt equipment,
"construction, mining and farming > highway / road equipment > highway equipment",highway equipment,
"construction, mining and farming > highway / road equipment > road/highway/bridge supplies",road/highway/bridge supplies,
consumer electronics,consumer electronics,
consumer electronics > arcade equipment,arcade equipment,
consumer electronics > arcade equipment > arcade games,arcade games,
consumer electronics > audio/visual equipment,audio/visual equipment,
consumer electronics > audio/visual equipment > televisions,televisions,
"consumer electronics > computers, parts, and supplies","computers, parts, and supplies",
"consumer electronics > computers, parts, and supplies > computer accessories",computer accessories,
"consumer electronics > computers, parts, and supplies > computer hardware",computer hardware,
"consumer electronics > computers, parts, and supplies > computer monitors",computer monitors,
"consumer electronics > computers, parts, and supplies > computer printers, scanners, and copiers","computer printers, scanners, and copiers",
"consumer electronics > computers, parts, and supplies > computers: desktops and all-in-ones",computers: desktops and all-in-ones,
"consumer electronics > computers, parts, and supplies > computers: laptops",computers: laptops,
"consumer electronics > computers, parts, and supplies > ipads, tablets, and ereaders","ipads, tablets, and ereaders",
"consumer electronics > computers, parts, and supplies > networking and wireless devices",networking and wireless devices,
consumer electronics > phones,phones,
consumer electronics > phones > cell phones,cell phones,
consumer electronics > photographic equipment,photographic equipment,
consumer goods,consumer goods,
consumer goods > appliances and furniture,appliances and furniture,
consumer goods > appliances and furniture > furniture/furnishings,furniture/furnishings,
"consumer goods > arts, crafts, and collectibles","arts, crafts, and collectibles",
"consumer goods > arts, crafts, and collectibles > arts and crafts",arts and crafts,
"consumer goods > arts, crafts, and collectibles > coin collections",coin collections,
"consumer goods > arts, crafts, and collectibles > collectibles",collectibles,
"consumer goods > arts, crafts, and collectibles > fine art",fine art,
consumer goods > beauty and personal care,beauty and personal care,
consumer goods > beauty and personal care > health and beauty,health and beauty,
"consumer goods > books, music, and video","books, music, and video",
"consumer goods > books, music, and video > books/manuals",books/manuals,
