hierarchy,name,description
construction,construction,
construction > aggregate equipment,aggregate equipment,
construction > aggregate equipment > belt sampler & de-watering system,belt sampler & de-watering system,
construction > aggregate equipment > cone & jaw plants,cone & jaw plants,
construction > aggregate equipment > control cab,control cab,
construction > aggregate equipment > conveyors-feeders,conveyors-feeders,
construction > aggregate equipment > crushers,crushers,
construction > aggregate equipment > feeders & surge bins,feeders & surge bins,
construction > aggregate equipment > generators,generators,
construction > aggregate equipment > other,other,
construction > aggregate equipment > power vans,power vans,
construction > aggregate equipment > screens,screens,
construction > aggregate equipment > shotcrete equipment,shotcrete equipment ,
construction > aggregate equipment > splitter chutes,splitter chutes,
construction > aggregate equipment > stackers,stackers,
construction > aggregate equipment > wash plants,wash plants,
construction > air compressors,air compressors,
construction > air compressors > diesel,diesel,
construction > air compressors > electric,electric,
construction > air compressors > heavy duty,heavy duty,
construction > air compressors > mini,mini,
construction > air compressors > other,other,
construction > asphalt & conrete,asphalt & conrete,
construction > asphalt & conrete > asphalt paver,asphalt paver,
construction > asphalt & conrete > stabilizer/asphalt recyler,stabilizer/asphalt recyler,
construction > boom trucks,boom trucks,
construction > boom trucks > articulated,articulated,
construction > boom trucks > stand-up,stand-up,
construction > boom trucks > swing seat,swing seat,
construction > boom trucks > other,other,
construction > bulldozers,bulldozers,
construction > bulldozers > attachments,attachments,
construction > bulldozers > crawler,crawler,
construction > bulldozers > pipelayer,pipelayer,
construction > bulldozers > wheel,wheel,
construction > bulldozers > other,other,
construction > compactors,compactors,
construction > compactors > attachments,attachments,
construction > compactors > combination,combination,
construction > compactors > landfill,landfill,
construction > compactors > single-drum,single-drum,
construction > compactors > static rollers,static rollers,
construction > compactors > tandem rollers,tandem rollers,
construction > compactors > other,other,
construction > concrete mixers,concrete mixers,
construction > construction hoists & elevators,construction hoists & elevators,
construction > construction materials,construction materials,
construction > construction materials > dunnage,dunnage,
construction > construction materials > ecology blocks,ecology blocks,
construction > construction materials > pipes,pipes,
construction > construction materials > road plates,road plates,
construction > cranes,cranes,
construction > cranes > aerial,aerial,
construction > cranes > all terrain,all terrain,
construction > cranes > attachments,attachments,
construction > cranes > boom truck,boom truck,
construction > cranes > carry deck,carry deck,
construction > cranes > crawler,crawler,
construction > cranes > floating,floating,
construction > cranes > harbor,harbor,
construction > cranes > level luffing,level luffing,
construction > cranes > railroad,railroad,
construction > cranes > rough terrain,rough terrain,
construction > cranes > telescopic,telescopic,
construction > cranes > telescopic handler,telescopic handler,
construction > cranes > tower,tower,
construction > cranes > truck mounted,truck mounted,
construction > cranes > other,other,
construction > crushers,crushers,
construction > crushers > cone,cone,
construction > crushers > gyratory,gyratory,
construction > crushers > hammer,hammer,
construction > crushers > impact,impact,
construction > crushers > jaw,jaw,
construction > crushers > other,other,
construction > crushers > roll,roll,
construction > dump trailers,dump trailers,
construction > dump trucks,dump trucks,
construction > dump trucks > articulated,articulated,
construction > dump trucks > electric,electric,
construction > dump trucks > mechanical,mechanical,
construction > dump trucks > other,other,
construction > excavators,excavators,
construction > excavators > attachments,attachments,
construction > excavators > crawler,crawler,
construction > excavators > mini,mini,
construction > excavators > shovels,shovels,
construction > excavators > wheel,wheel,
construction > excavators > other,other,
construction > generators,generators,
construction > generators > over 100kw,over 100kw,
construction > generators > under 100kw,under 100kw,
construction > generators > other,other,
construction > loader backhoes,loader backhoes,
construction > loader backhoes > articulated,articulated,
construction > loader backhoes > attachments,attachments,
construction > loader backhoes > mini,mini,
construction > loader backhoes > rigid,rigid,
construction > loader backhoes > other,other,
construction > loaders,loaders,
construction > loaders > attachments,attachments,
construction > loaders > compact,compact,
construction > loaders > crawler,crawler,
construction > loaders > skid steers,skid steers,
construction > loaders > telescopic,telescopic,
construction > loaders > track,track,
construction > loaders > wheel,wheel,
construction > loaders > other,other,
construction > motor grader,motor grader,
construction > multi-purpose truck,multi-purpose truck ,
construction > multi-purpose truck > articulating,articulating,
construction > pumps,pumps,
construction > pumps > dewatering,dewatering,
construction > rock truck,rock truck,
construction > skid steers,skid steers,
construction > skid steers > track,track,
construction > skid steers > wheel,wheel,
construction > specialized lifting & moving equipment,specialized lifting & moving equipment,
construction > spreaders,spreaders,
construction > spreaders > chip spreader,chip spreader,
construction > spreaders > salt spreader,salt spreader,
construction > spreaders > other,other,
construction > sweepers & broom equipment,sweepers & broom equipment,
construction > tankers,tankers,
construction > tow trailers,tow trailers,
construction > tunnel & mining,tunnel & mining,
construction > tunnel & mining > consumables,consumables,
construction > tunnel & mining > conveyor,conveyor,
construction > tunnel & mining > electrical,electrical,
construction > tunnel & mining > equipment,equipment,
construction > tunnel & mining > tbm parts,tbm parts,
construction > water trucks,water trucks,
construction > attachments,attachments,
construction > attachments > booms,booms,
construction > attachments > buckets,buckets,
construction > attachments > cutter implements,cutter implements,
construction > attachments > grapples,grapples,
construction > attachments > hammer-breaker,hammer-breaker,
construction > attachments > jib,jib,
construction > attachments > pallet fork,pallet fork,
construction > attachments > planetary,planetary,
construction > wheels & tires,wheels & tires,
construction > wheels & tires > construction & farming,construction & farming,
construction > wheels & tires > lifts & handlers,lifts & handlers,
construction > wheels & tires > trucks & trailers,trucks & trailers,
construction > other construction equipment,other construction equipment,
construction > other construction equipment > landfill compactor,landfill compactor,
construction > other construction equipment > motor scraper,motor scraper,
construction > other construction equipment > rotary mixer,rotary mixer,
construction > other construction equipment > shovel,shovel,
construction > other construction equipment > soil stabilizer,soil stabilizer,
construction > other construction equipment > trencher,trencher,
farming,farming,
farming > animal feeders,animal feeders,
"farming > disc, tine & tillage","disc, tine & tillage",
farming > graders & scrapers,graders & scrapers,
farming > graders & scrapers > motor,motor,
farming > graders & scrapers > pull,pull,
farming > grinder mixer,grinder mixer,
farming > harvesters,harvesters,
farming > hay & forage,hay & forage,
farming > loaders,loaders,
farming > loaders > attachments,attachments,
farming > loaders > compact,compact,
farming > loaders > crawler,crawler,
farming > loaders > skid steers,skid steers,
farming > loaders > telescopic,telescopic,
farming > loaders > track,track,
farming > loaders > wheel,wheel,
farming > loaders > other,other,
farming > motor grader,motor grader,
farming > multi-purpose truck,multi-purpose truck ,
farming > multi-purpose truck > articulating,articulating,
farming > power harrow,power harrow,
farming > pumps,pumps,
farming > pumps > dewatering,dewatering,
farming > rolls & presses,rolls & presses,
