hierarchy,name,description
aggregate equipment,aggregate equipment,
aggregate equipment > conveyor / feeder / stacker aggregate equipment,conveyor / feeder / stacker aggregate equipment,
aggregate equipment > crusher aggregate equipment,crusher aggregate equipment,
aggregate equipment > other aggregate equipment,other aggregate equipment,
aggregate equipment > screen aggregate equipment,screen aggregate equipment,
air compressors,air compressors,
asphalt / pavers / concrete equipment,asphalt / pavers / concrete equipment,
asphalt / pavers / concrete equipment > asphalt equipment,asphalt equipment,
asphalt / pavers / concrete equipment > asphalt equipment > asphalt pavers,asphalt pavers,
asphalt / pavers / concrete equipment > asphalt equipment > asphalt pavers > track asphalt pavers,track asphalt pavers,
asphalt / pavers / concrete equipment > asphalt equipment > asphalt pavers > wheel asphalt pavers,wheel asphalt pavers,
asphalt / pavers / concrete equipment > asphalt equipment > asphalt plants,asphalt plants,
asphalt / pavers / concrete equipment > asphalt equipment > asphalt plants > portable asphalt plants,portable asphalt plants,
asphalt / pavers / concrete equipment > asphalt equipment > asphalt plants > stationary asphalt plants,stationary asphalt plants,
asphalt / pavers / concrete equipment > asphalt equipment > road wideners,road wideners,
asphalt / pavers / concrete equipment > asphalt equipment > cold planers,cold planers,
asphalt / pavers / concrete equipment > asphalt equipment > cold planers > track cold planers,track cold planers,
asphalt / pavers / concrete equipment > asphalt equipment > cold planers > wheel cold planers,wheel cold planers,
asphalt / pavers / concrete equipment > asphalt equipment > material transfer vehicles,material transfer vehicles,
asphalt / pavers / concrete equipment > asphalt equipment > material transfer vehicles > track material transfer vehicles,track material transfer vehicles,
asphalt / pavers / concrete equipment > asphalt equipment > material transfer vehicles > wheel material transfer vehicles,wheel material transfer vehicles,
asphalt / pavers / concrete equipment > asphalt equipment > soil stabilizers / recyclers,soil stabilizers / recyclers,
asphalt / pavers / concrete equipment > asphalt equipment > force feed loaders,force feed loaders,
asphalt / pavers / concrete equipment > asphalt equipment > chip spreaders,chip spreaders,
asphalt / pavers / concrete equipment > asphalt equipment > asphalt distributors,asphalt distributors,
