hierarchy,name,description
tractors,tractors,
tractors > 300 hp or greater tractors,300 hp or greater tractors,
tractors > 175 hp to 299 hp tractors,175 hp to 299 hp tractors,
tractors > 100 hp to 174 hp tractors,100 hp to 174 hp tractors,
tractors > 40 hp to 99 hp tractors,40 hp to 99 hp tractors,
tractors > less than 40 hp tractors,less than 40 hp tractors,
harvesters,harvesters,
harvesters > combines,combines,
harvesters > cotton pickers/strippers,cotton pickers/strippers,
harvesters > forage harvesters,forage harvesters,
harvesters > forage harvesters > self-propelled forage harvesters,self-propelled forage harvesters,
harvesters > forage harvesters > pull-type forage harvesters,pull-type forage harvesters,
harvesters > headers,headers,
harvesters > headers > row crop headers,row crop headers,
harvesters > headers > platform headers,platform headers,
harvesters > headers > forage headers,forage headers,
harvesters > headers > forage headers > row crop forage headers,row crop forage headers,
harvesters > headers > forage headers > rotary forage headers,rotary forage headers,
harvesters > headers > forage headers > windrow forage headers,windrow forage headers,
harvesters > other harvesters,other harvesters,
harvest equipment,harvest equipment,
harvest equipment > forage wagons,forage wagons,
harvest equipment > grain carts,grain carts,
harvest equipment > gravity wagons,gravity wagons,
harvest equipment > other harvest equipment,other harvest equipment,
planting equipment,planting equipment,
planting equipment > air seeders/air carts,air seeders/air carts,
planting equipment > grain drills,grain drills,
planting equipment > planters,planters,
planting equipment > seed tenders,seed tenders,
planting equipment > other planting equipment,other planting equipment,
tillage equipment,tillage equipment,
tillage equipment > chisel plows,chisel plows,
tillage equipment > disks,disks,
tillage equipment > field cultivators,field cultivators,
tillage equipment > land rollers,land rollers,
tillage equipment > mulch finishers,mulch finishers,
tillage equipment > plows,plows,
tillage equipment > rippers,rippers,
tillage equipment > rotary tillage,rotary tillage,
tillage equipment > row crop cultivators,row crop cultivators,
tillage equipment > vertical tillage,vertical tillage,
tillage equipment > other,other,
hay and forage equipment,hay and forage equipment,
hay and forage equipment > bale accumulators / movers,bale accumulators / movers,
hay and forage equipment > bale wrappers,bale wrappers,
hay and forage equipment > disc mowers,disc mowers,
hay and forage equipment > mower conditioners/windrowers,mower conditioners/windrowers,
hay and forage equipment > mower conditioners/windrowers > self-propelled mower conditioners/windrowers,self-propelled mower conditioners/windrowers,
hay and forage equipment > mower conditioners/windrowers > pull-type mower conditioners/windrowers,pull-type mower conditioners/windrowers,
hay and forage equipment > mower conditioners/windrowers > mounted mower conditioners/windrowers,mounted mower conditioners/windrowers,
hay and forage equipment > hay rakes,hay rakes,
hay and forage equipment > tedders,tedders,
hay and forage equipment > rotary mowers,rotary mowers,
hay and forage equipment > round balers,round balers,
hay and forage equipment > square balers,square balers,
hay and forage equipment > square balers > large square balers,large square balers,
hay and forage equipment > square balers > small square balers,small square balers,
hay and forage equipment > stalk choppers/flail mowers,stalk choppers/flail mowers,
hay and forage equipment > tub grinders/bale processors,tub grinders/bale processors,
hay and forage equipment > other hay and forage equipment,other hay and forage equipment,
chemical applicators,chemical applicators,
chemical applicators > fertilizer applicators,fertilizer applicators,
chemical applicators > fertilizer applicators > dry fertilizer applicators,dry fertilizer applicators,
chemical applicators > fertilizer applicators > dry fertilizer applicators > pull type dry fertilizer applicators,pull type dry fertilizer applicators,
chemical applicators > fertilizer applicators > dry fertilizer applicators > self propelled dry fertilizer applicators,self propelled dry fertilizer applicators,
chemical applicators > fertilizer applicators > dry fertilizer applicators > 3 point / mounted dry fertilizer applicators,3 point / mounted dry fertilizer applicators,
chemical applicators > fertilizer applicators > liquid fertilizer applicators,liquid fertilizer applicators,
chemical applicators > fertilizer applicators > anhydrous fertilizer applicators,anhydrous fertilizer applicators,
chemical applicators > floaters,floaters,
chemical applicators > floaters > dry floaters,dry floaters,
chemical applicators > floaters > liquid floaters,liquid floaters,
chemical applicators > sprayers,sprayers,
chemical applicators > sprayers > pull type sprayers,pull type sprayers,
chemical applicators > sprayers > self propelled sprayers,self propelled sprayers,
chemical applicators > sprayers > 3 pt/mounted sprayers,3 pt/mounted sprayers,
chemical applicators > tenders,tenders,
chemical applicators > tenders > dry tenders,dry tenders,
chemical applicators > tenders > liquid tenders,liquid tenders,
chemical applicators > tenders > anhydrous tenders,anhydrous tenders,
chemical applicators > other chemical applicators,other chemical applicators,
manure handling,manure handling,
manure handling > manure spreaders,manure spreaders,
manure handling > manure spreaders > dry manure spreaders,dry manure spreaders,
manure handling > manure spreaders > liquid manure spreaders,liquid manure spreaders,
manure handling > manure systems,manure systems,
manure handling > poultry litter equipment,poultry litter equipment,
grain handling / storage equipment,grain handling / storage equipment,
grain handling / storage equipment > grain bins,grain bins,
grain handling / storage equipment > grain augers,grain augers,
grain handling / storage equipment > grain conveyors,grain conveyors,
grain handling / storage equipment > grain vacs,grain vacs,
grain handling / storage equipment > grain dryers,grain dryers,
grain handling / storage equipment > grain elevators / legs,grain elevators / legs,
grain handling / storage equipment > grain baggers,grain baggers,
grain handling / storage equipment > grain bag unloaders,grain bag unloaders,
grain handling / storage equipment > other grain handling / storage equipment,other grain handling / storage equipment,
ag trailers,ag trailers,
ag trailers > material handling trailers,material handling trailers,
ag trailers > livestock trailers,livestock trailers,
ag trailers > header trailers,header trailers,
ag trailers > other ag trailers,other ag trailers,
outdoor power,outdoor power,
outdoor power > chainsaws,chainsaws,
outdoor power > lawn mowers,lawn mowers,
outdoor power > lawn mowers > riding lawn mowers,riding lawn mowers,
outdoor power > lawn mowers > stand on lawn mowers,stand on lawn mowers,
outdoor power > lawn mowers > walk-behind lawn mowers,walk-behind lawn mowers,
outdoor power > lawn mowers > zero turn lawn mowers,zero turn lawn mowers,
outdoor power > snow blowers,snow blowers,
outdoor power > other outdoor power,other outdoor power,
motorsports,motorsports,
motorsports > atvs,atvs,
motorsports > atvs > recreation / utility atvs,recreation / utility atvs,
motorsports > atvs > sport atvs,sport atvs,
motorsports > atvs > youth atvs,youth atvs,
motorsports > atvs > other atvs,other atvs,
motorsports > utility vehicles,utility vehicles,
motorsports > utility vehicles > utility utility vehicles,utility utility vehicles,
motorsports > utility vehicles > sport / recreation utility vehicles,sport / recreation utility vehicles,
motorsports > utility vehicles > other utility vehicles,other utility vehicles,
motorsports > snowmobiles,snowmobiles,
motorsports > snowmobiles > trail snowmobiles,trail snowmobiles,
motorsports > snowmobiles > performance snowmobiles,performance snowmobiles,
motorsports > snowmobiles > touring snowmobiles,touring snowmobiles,
motorsports > snowmobiles > mountain snowmobiles,mountain snowmobiles,
motorsports > snowmobiles > utility snowmobiles,utility snowmobiles,
motorsports > snowmobiles > cross over snowmobiles,cross over snowmobiles,
motorsports > snowmobiles > youth snowmobiles,youth snowmobiles,
motorsports > snowmobiles > other snowmobiles,other snowmobiles,
motorsports > motorcycles,motorcycles,
motorsports > motorcycles > cruiser motorcycles,cruiser motorcycles,
motorsports > motorcycles > sport bike motorcycles,sport bike motorcycles,
motorsports > motorcycles > touring motorcycles,touring motorcycles,
motorsports > motorcycles > dirt bike motorcycles,dirt bike motorcycles,
motorsports > motorcycles > dual sport motorcycles,dual sport motorcycles,
motorsports > motorcycles > standard motorcycles,standard motorcycles,
motorsports > motorcycles > trike motorcycles,trike motorcycles,
motorsports > motorcycles > scooter motorcycles,scooter motorcycles,
motorsports > motorcycles > sport touring motorcycles,sport touring motorcycles,
motorsports > motorcycles > motocross motorcycles,motocross motorcycles,
motorsports > motorcycles > vintage motorcycles,vintage motorcycles,
motorsports > motorcycles > moped motorcycles,moped motorcycles,
motorsports > motorcycles > other motorcycles,other motorcycles,
motorsports > go karts,go karts,
drones,drones,
precision ag,precision ag,
precision ag > application / flow controls precision ag,application / flow controls precision ag,
precision ag > displays / monitors precision ag,displays / monitors precision ag,
precision ag > gps receivers / base stations precision ag,gps receivers / base stations precision ag,
precision ag > performance chips precision ag,performance chips precision ag,
precision ag > radios precision ag,radios precision ag,
