hierarchy,name,description
construction equipment,construction equipment,
construction equipment > excavators,excavators,
construction equipment > excavators > crawler excavators,crawler excavators,
construction equipment > excavators > wheel excavators,wheel excavators,
construction equipment > excavators > material handlers,material handlers,
construction equipment > excavators > mini excavators,mini excavators,
construction equipment > excavators > backhoe loaders,backhoe loaders,
construction equipment > excavators > dragline excavators,dragline excavators,
construction equipment > excavators > walking excavators,walking excavators,
construction equipment > excavators > backhoes,backhoes,
construction equipment > excavators > dredging equipment,dredging equipment,
construction equipment > excavators > attachments,attachments,
construction equipment > excavators > excavator spare parts,excavator spare parts,
construction equipment > excavators > excavators - other,excavators - other,
construction equipment > loaders,loaders,
construction equipment > loaders > telescopic forklifts,telescopic forklifts,
construction equipment > loaders > wheel loaders,wheel loaders,
construction equipment > loaders > track loaders,track loaders,
construction equipment > loaders > skid steers,skid steers,
construction equipment > loaders > compact loader,compact loader,
construction equipment > loaders > backhoe loaders,backhoe loaders,
construction equipment > loaders > skip loaders,skip loaders,
construction equipment > loaders > attachments,attachments,
construction equipment > loaders > loader parts,loader parts,
construction equipment > loaders > loaders - other,loaders - other,
construction equipment > loader backhoes,loader backhoes,
construction equipment > loader backhoes > rigid backhoe loaders,rigid backhoe loaders,
construction equipment > loader backhoes > articulated backhoe loaders,articulated backhoe loaders,
construction equipment > loader backhoes > mini backhoes,mini backhoes,
construction equipment > loader backhoes > backhoe loaders - attachments,backhoe loaders - attachments,
construction equipment > loader backhoes > backhoe loaders - spare parts,backhoe loaders - spare parts,
construction equipment > loader backhoes > backhoe loaders - other,backhoe loaders - other,
construction equipment > dumpers / dump trucks,dumpers / dump trucks,
construction equipment > dumpers / dump trucks > articulated dump trucks,articulated dump trucks,
construction equipment > dumpers / dump trucks > off-highway trucks,off-highway trucks,
construction equipment > dumpers / dump trucks > crawler carriers,crawler carriers,
construction equipment > dumpers / dump trucks > mini dumpers,mini dumpers,
construction equipment > dumpers / dump trucks > dump wagons,dump wagons,
construction equipment > dumpers / dump trucks > dump truck parts,dump truck parts,
construction equipment > dumpers / dump trucks > dump truck - other,dump truck - other,
construction equipment > dozers,dozers,
construction equipment > dozers > crawler dozers,crawler dozers,
construction equipment > dozers > wheel dozers,wheel dozers,
construction equipment > dozers > dozer parts,dozer parts,
construction equipment > dozers > dozers - other,dozers - other,
construction equipment > motor graders,motor graders,
construction equipment > scrapers,scrapers,
construction equipment > scrapers > motor scrapers,motor scrapers,
construction equipment > scrapers > pull scrapers,pull scrapers,
construction equipment > soil stabilizers,soil stabilizers,
construction equipment > compactors,compactors,
construction equipment > compactors > tandem compactors,tandem compactors,
construction equipment > compactors > single drum compactors,single drum compactors,
construction equipment > compactors > pneumatic compactors,pneumatic compactors,
construction equipment > compactors > combination compactors,combination compactors,
construction equipment > compactors > sheepsfoot rollers,sheepsfoot rollers,
construction equipment > compactors > landfill compactors,landfill compactors,
construction equipment > compactors > vibratory plates / walk-behind rollers,vibratory plates / walk-behind rollers,
construction equipment > compactors > roller parts,roller parts,
construction equipment > compactors > rollers - other,rollers - other,
construction equipment > asphalt equipment,asphalt equipment,
construction equipment > asphalt equipment > asphalt pavers,asphalt pavers,
construction equipment > asphalt equipment > cold planers,cold planers,
construction equipment > asphalt equipment > asphalt distributors,asphalt distributors,
construction equipment > asphalt equipment > chip spreaders,chip spreaders,
construction equipment > asphalt equipment > verge mower,verge mower,
construction equipment > asphalt equipment > hedge mower,hedge mower,
construction equipment > asphalt equipment > sweepers,sweepers,
construction equipment > asphalt equipment > asphalt plant,asphalt plant,
construction equipment > asphalt equipment > salt spreaders,salt spreaders,
construction equipment > asphalt equipment > snow plows,snow plows,
construction equipment > asphalt equipment > asphalt equipment - other,asphalt equipment - other,
construction equipment > crane,crane,
construction equipment > crane > mobile crane / boom truck,mobile crane / boom truck,
construction equipment > crane > tower crane,tower crane,
construction equipment > crane > self-erecting crane,self-erecting crane,
construction equipment > crane > crawler crane,crawler crane,
construction equipment > crane > harbor crane,harbor crane,
construction equipment > crane > loader crane,loader crane,
construction equipment > crane > timber loader,timber loader,
construction equipment > crane > crane parts,crane parts,
construction equipment > crane > cranes - others,cranes - others,
construction equipment > concrete equipment,concrete equipment,
construction equipment > concrete equipment > mixer trucks,mixer trucks,
construction equipment > concrete equipment > self-loading concrete mixers,self-loading concrete mixers,
construction equipment > concrete equipment > concrete pumps,concrete pumps,
construction equipment > concrete equipment > screed pumps,screed pumps,
construction equipment > concrete equipment > mortar pumps,mortar pumps,
construction equipment > concrete equipment > concrete plants,concrete plants,
construction equipment > concrete equipment > concrete mixers,concrete mixers,
construction equipment > concrete equipment > concrete block machines,concrete block machines,
construction equipment > concrete equipment > formwork / slab props,formwork / slab props,
construction equipment > concrete equipment > concrete - other,concrete - other,
"construction equipment > trenching, drilling, pile driving","trenching, drilling, pile driving",
"construction equipment > trenching, drilling, pile driving > drilling equipment",drilling equipment,
"construction equipment > trenching, drilling, pile driving > piling rigs",piling rigs,
"construction equipment > trenching, drilling, pile driving > trenchers",trenchers,
"construction equipment > trenching, drilling, pile driving > drilling, pile driving, trenching - other","drilling, pile driving, trenching - other",
construction equipment > aggregate equipment,aggregate equipment,
construction equipment > aggregate equipment > conveyor / feeder,conveyor / feeder,
construction equipment > aggregate equipment > fixed crusher / shredder,fixed crusher / shredder,
construction equipment > aggregate equipment > screeners,screeners,
construction equipment > aggregate equipment > shredders,shredders,
construction equipment > aggregate equipment > crushing plants,crushing plants,
construction equipment > aggregate equipment > aggegate equipment - other (conveyor / feeder / stacker),aggegate equipment - other (conveyor / feeder / stacker),
"construction equipment > storage, sheds & buildings","storage, sheds & buildings",
"construction equipment > storage, sheds & buildings > liquid storage",liquid storage,
"construction equipment > storage, sheds & buildings > solid product storage",solid product storage,
"construction equipment > storage, sheds & buildings > industrial sheds",industrial sheds,
"construction equipment > storage, sheds & buildings > modular buildings",modular buildings,
"construction equipment > storage, sheds & buildings > storage, buildings - other","storage, buildings - other",
construction equipment > miscellaneous equipment,miscellaneous equipment,
construction equipment > miscellaneous equipment > compressor,compressor,
construction equipment > miscellaneous equipment > generator,generator,
construction equipment > miscellaneous equipment > pump,pump,
construction equipment > miscellaneous equipment > scaffolding,scaffolding,
construction equipment > miscellaneous equipment > slab props / formwork,slab props / formwork,
construction equipment > miscellaneous equipment > tools & workshop,tools & workshop,
construction equipment > miscellaneous equipment > water equipment,water equipment,
construction equipment > miscellaneous equipment > dredging equipment,dredging equipment,
construction equipment > miscellaneous equipment > pipelayers,pipelayers,
construction equipment > miscellaneous equipment > miscellaneous equipment - other,miscellaneous equipment - other,
construction equipment > spare parts,spare parts,
construction equipment > spare parts > engine,engine,
construction equipment > spare parts > excavator spare parts,excavator spare parts,
construction equipment > spare parts > loader parts,loader parts,
construction equipment > spare parts > backhoe parts,backhoe parts,
construction equipment > spare parts > dump truck parts,dump truck parts,
construction equipment > spare parts > dozer parts,dozer parts,
construction equipment > spare parts > scraper parts,scraper parts,
construction equipment > spare parts > grader parts,grader parts,
construction equipment > spare parts > roller parts,roller parts,
construction equipment > spare parts > forklift parts,forklift parts,
construction equipment > spare parts > heavy forklift parts,heavy forklift parts,
construction equipment > spare parts > warehouse truck parts,warehouse truck parts,
construction equipment > spare parts > platform parts,platform parts,
construction equipment > spare parts > crane parts,crane parts,
construction equipment > spare parts > truck parts,truck parts,
construction equipment > spare parts > trailer parts,trailer parts,
construction equipment > spare parts > parts - other,parts - other,
construction equipment > salvage equipment,salvage equipment,
construction equipment > attachments,attachments,
construction equipment > attachments > track,track,
construction equipment > attachments > buckets,buckets,
construction equipment > attachments > palette fork,palette fork,
construction equipment > attachments > clamshell bucket,clamshell bucket,
construction equipment > attachments > grapple,grapple,
construction equipment > attachments > hydraulic hammer,hydraulic hammer,
construction equipment > attachments > hydraulic shears,hydraulic shears,
construction equipment > attachments > attachments - other,attachments - other,
construction equipment > wheels and tires,wheels and tires,
construction equipment > wheels and tires > wheels,wheels,
construction equipment > wheels and tires > tires,tires,
construction equipment > wheels and tires > wheels and tires - other,wheels and tires - other,
construction equipment > materials,materials,
construction equipment > services,services,
construction equipment > real estate,real estate,
construction equipment > jobs/training,jobs/training,
construction equipment > antique construction machinery,antique construction machinery,
construction equipment > miscellaneous,miscellaneous,
handling / lifting,handling / lifting,
handling / lifting > forklifts (under 8t),forklifts (under 8t),
handling / lifting > forklifts (under 8t) > diesel forklift,diesel forklift,
handling / lifting > forklifts (under 8t) > lpg forklift,lpg forklift,
handling / lifting > forklifts (under 8t) > electric forklifts,electric forklifts,
handling / lifting > forklifts (under 8t) > gasoline forklift,gasoline forklift,
handling / lifting > forklifts (under 8t) > telescopic forklifts,telescopic forklifts,
handling / lifting > forklifts (under 8t) > rough terrain forklifts,rough terrain forklifts,
