hierarchy,name,description
agriculture,agriculture,
agriculture > applicators,applicators,
agriculture > bale processors,bale processors,
agriculture > bale or hay trailers,bale or hay trailers,
agriculture > balers,balers,
agriculture > combines,combines,
agriculture > dairy farming equipment,dairy farming equipment,
agriculture > disc mowers,disc mowers,
agriculture > feeder & mixer wagons,feeder & mixer wagons,
agriculture > fertilizer spreaders,fertilizer spreaders,
agriculture > flail mowers,flail mowers,
agriculture > forage harvesters,forage harvesters,
agriculture > forage wagons,forage wagons,
agriculture > grain augers,grain augers,
agriculture > grain carts & gravity wagons,grain carts & gravity wagons,
agriculture > grain handling,grain handling,
agriculture > harvester headers,harvester headers,
agriculture > hay rakes,hay rakes,
agriculture > hay tedders,hay tedders,
agriculture > horticulture & greenhouse equipment,horticulture & greenhouse equipment,
agriculture > irrigation,irrigation,
agriculture > lawn & turf equipment,lawn & turf equipment,
agriculture > lawn mowers,lawn mowers,
agriculture > livestock equipment,livestock equipment,
agriculture > mower conditioners,mower conditioners,
agriculture > planting equipment,planting equipment,
agriculture > potato harvesters,potato harvesters,
agriculture > precision agriculture,precision agriculture,
agriculture > rotary mowers,rotary mowers,
agriculture > swathers/windrowers,swathers/windrowers,
agriculture > tillage equipment,tillage equipment,
agriculture > tractors,tractors,
boats & marine equipment,boats & marine equipment,
boats & marine equipment > cargo ships,cargo ships,
boats & marine equipment > dredges,dredges,
boats & marine equipment > fishing vessels,fishing vessels,
boats & marine equipment > marine engines & generators,marine engines & generators,
boats & marine equipment > marine equipment,marine equipment,
boats & marine equipment > maritime cranes & port equipment,maritime cranes & port equipment,
boats & marine equipment > offshore support vessels,offshore support vessels,
boats & marine equipment > passenger ships,passenger ships,
boats & marine equipment > power boats,power boats,
boats & marine equipment > sail boats,sail boats,
boats & marine equipment > service vessels,service vessels,
construction,construction,
construction > aggregate equipment,aggregate equipment,
construction > asphalt & concrete saws,asphalt & concrete saws,
construction > asphalt crack sealing equipment,asphalt crack sealing equipment,
construction > asphalt distributors,asphalt distributors,
construction > asphalt milling machines,asphalt milling machines,
construction > asphalt mixing plants,asphalt mixing plants,
construction > asphalt pavers,asphalt pavers,
construction > backhoe loaders,backhoe loaders,
"construction > block, brick & paver making machines","block, brick & paver making machines",
construction > cable laying & stringing,cable laying & stringing,
construction > compact track loaders,compact track loaders,
construction > compactors,compactors,
construction > compressors,compressors,
construction > concrete batching plants,concrete batching plants,
construction > concrete buggies,concrete buggies,
construction > concrete pumps,concrete pumps,
construction > construction/industrial engines,construction/industrial engines,
construction > cranes,cranes,
construction > crawler loaders,crawler loaders,
construction > digger derricks,digger derricks,
construction > directional drilling,directional drilling,
construction > dozers,dozers,
construction > excavators,excavators,
construction > floor grinders & polishers,floor grinders & polishers,
construction > generator sets,generator sets,
construction > lifts,lifts,
construction > light towers,light towers,
construction > motor graders,motor graders,
construction > personnel carriers,personnel carriers,
construction > piling rigs,piling rigs,
construction > pipelayers,pipelayers,
construction > portable cement mixers,portable cement mixers,
construction > power tools,power tools,
construction > power trowels,power trowels,
construction > road marking equipment,road marking equipment,
construction > rock drilling,rock drilling,
construction > scrapers,scrapers,
construction > screed,screed,
construction > shotcrete machines,shotcrete machines,
construction > skid steer loaders,skid steer loaders,
construction > skip loaders,skip loaders,
construction > slipform pavers,slipform pavers,
construction > soil stabilizers,soil stabilizers,
construction > suction excavators,suction excavators,
construction > topography & surveying equipment,topography & surveying equipment,
construction > trenchers,trenchers,
construction > wheel loaders,wheel loaders,
energy,energy,
energy > batteries & chargers,batteries & chargers,
energy > boilers,boilers,
energy > circuit breakers,circuit breakers,
energy > cogeneration plants,cogeneration plants,
energy > diesel engines & generators,diesel engines & generators,
energy > electrical & electronic components,electrical & electronic components,
energy > power plants,power plants,
energy > solar power,solar power,
energy > transformers,transformers,
energy > turbines,turbines,
food & beverage processing,food & beverage processing,
food & beverage processing > bakery & pastry equipment,bakery & pastry equipment,
"food & beverage processing > bottling, filling & packaging","bottling, filling & packaging",
food & beverage processing > coffee machines,coffee machines,
food & beverage processing > confectionery equipment,confectionery equipment,
food & beverage processing > dairy processing,dairy processing,
food & beverage processing > dish washing machines,dish washing machines,
food & beverage processing > fish processing,fish processing,
food & beverage processing > food inspection & safety,food inspection & safety,
food & beverage processing > food refrigeration,food refrigeration,
food & beverage processing > fruit & vegetable processing,fruit & vegetable processing,
food & beverage processing > grain processing,grain processing,
food & beverage processing > industrial cooking machines,industrial cooking machines,
food & beverage processing > kitchen & restaurant equipment,kitchen & restaurant equipment,
food & beverage processing > meat & poultry processing,meat & poultry processing,
food & beverage processing > ovens & grills,ovens & grills,
food & beverage processing > vending machines,vending machines,
food & beverage processing > wine processing,wine processing,
forestry,forestry,
forestry > feller bunchers,feller bunchers,
forestry > forestry harvesters,forestry harvesters,
forestry > forwarders,forwarders,
forestry > horizontal grinders,horizontal grinders,
forestry > knuckleboom loaders,knuckleboom loaders,
forestry > mulchers,mulchers,
forestry > skidders,skidders,
forestry > tub grinders,tub grinders,
forestry > wood chippers,wood chippers,
forestry > yarders,yarders,
industrial automation,industrial automation,
industrial automation > actuators,actuators,
