hierarchy,name,description
construction equipment,construction equipment,
construction equipment > excavators,excavators,
construction equipment > excavators > tracked excavators,tracked excavators,
construction equipment > excavators > mini excavators,mini excavators,
construction equipment > excavators > wheeled excavators,wheeled excavators,
construction equipment > excavators > waste excavators,waste excavators,
construction equipment > excavators > long reach excavators,long reach excavators,
construction equipment > excavators > amphibious excavators,amphibious excavators,
construction equipment > excavators > demolition excavators,demolition excavators,
construction equipment > excavators > railway excavators,railway excavators,
construction equipment > excavators > draglines,draglines,
construction equipment > attachments,attachments,
construction equipment > attachments > buckets,buckets,
construction equipment > attachments > hammers,hammers,
construction equipment > attachments > grapples,grapples,
construction equipment > attachments > winch,winch,
construction equipment > attachments > hydraulic hammers,hydraulic hammers,
construction equipment > attachments > demolition shears,demolition shears,
construction equipment > attachments > ripper,ripper,
construction equipment > attachments > pulverizers,pulverizers,
construction equipment > attachments > snow blades,snow blades,
construction equipment > attachments > mechanical clamshell,mechanical clamshell,
construction equipment > attachments > crusher bucket,crusher bucket,
construction equipment > attachments > screening bucket,screening bucket,
construction equipment > attachments > tipping skips,tipping skips,
construction equipment > attachments > fork attachments,fork attachments,
construction equipment > attachments > screeds,screeds,
construction equipment > attachments > skeleton buckets,skeleton buckets,
construction equipment > attachments > drum cutters,drum cutters,
construction equipment > wheel loaders,wheel loaders,
construction equipment > generators,generators,
construction equipment > generators > gensets,gensets,
construction equipment > generators > transformer,transformer,
construction equipment > generators > power units,power units,
construction equipment > generators > load bank,load bank,
construction equipment > compaction equipment,compaction equipment,
construction equipment > compaction equipment > compactors,compactors,
construction equipment > compaction equipment > tandem vibratory rollers,tandem vibratory rollers,
construction equipment > compaction equipment > pneumatic rollers,pneumatic rollers,
construction equipment > compaction equipment > vibratory soil compactors,vibratory soil compactors,
construction equipment > compaction equipment > soil compactors,soil compactors,
construction equipment > compaction equipment > trench rammer,trench rammer,
construction equipment > dozers,dozers,
construction equipment > dozers > crawler dozers,crawler dozers,
construction equipment > dozers > wheel dozers,wheel dozers,
construction equipment > crushers & screens,crushers & screens,
construction equipment > crushers & screens > jaw crusher,jaw crusher,
construction equipment > crushers & screens > crushers,crushers,
construction equipment > crushers & screens > cone crusher,cone crusher,
construction equipment > crushers & screens > impact crusher,impact crusher,
construction equipment > crushers & screens > screens,screens,
construction equipment > crushers & screens > conveyors,conveyors,
construction equipment > crushers & screens > trommels,trommels,
construction equipment > crushers & screens > sand washer,sand washer,
construction equipment > crushers & screens > milling & paver,milling & paver,
construction equipment > crushers & screens > pugmills,pugmills,
construction equipment > compressors,compressors,
construction equipment > drilling equipment,drilling equipment,
construction equipment > drilling equipment > drilling rig,drilling rig,
construction equipment > drilling equipment > rotary drilling rig,rotary drilling rig,
construction equipment > drilling equipment > locating systems,locating systems,
construction equipment > drilling equipment > directional drilling,directional drilling,
construction equipment > drilling equipment > transmitters,transmitters,
construction equipment > drilling equipment > drills,drills,
construction equipment > drilling equipment > horizontal drilling rig,horizontal drilling rig,
construction equipment > drilling equipment > piling rigs,piling rigs,
construction equipment > drilling equipment > dredger,dredger,
construction equipment > concrete equipment,concrete equipment,
construction equipment > concrete equipment > concrete transit mixers,concrete transit mixers,
construction equipment > concrete equipment > self loading mixer,self loading mixer,
construction equipment > concrete equipment > concrete pumps - stationary,concrete pumps - stationary,
construction equipment > concrete equipment > concrete cutters,concrete cutters,
construction equipment > motor graders,motor graders,
construction equipment > site dumpers,site dumpers,
construction equipment > concrete pumps,concrete pumps,
construction equipment > backhoe loaders,backhoe loaders,
construction equipment > skid steer loaders,skid steer loaders,
construction equipment > pavers,pavers,
construction equipment > light towers,light towers,
construction equipment > plants,plants,
construction equipment > plants > mobile crushers plants,mobile crushers plants,
construction equipment > plants > concrete batching plants,concrete batching plants,
construction equipment > plants > crushing plant,crushing plant,
construction equipment > plants > compact concrete plants,compact concrete plants,
construction equipment > plants > mobile concrete batching plant,mobile concrete batching plant,
construction equipment > plants > asphalt plants,asphalt plants,
construction equipment > plants > stationary crushing plant,stationary crushing plant,
construction equipment > plants > block making machines,block making machines,
construction equipment > plants > silos,silos,
construction equipment > plants > bagging plant,bagging plant,
construction equipment > plants > power plant,power plant,
construction equipment > plants > vertical roller mills,vertical roller mills,
construction equipment > cold milling machines,cold milling machines,
construction equipment > piling equipment,piling equipment,
construction equipment > trenchers,trenchers,
construction equipment > welding sets,welding sets,
construction equipment > road reclaimers,road reclaimers,
construction equipment > air compressors,air compressors,
construction equipment > asphalt equipment,asphalt equipment,
construction equipment > asphalt equipment > asphalt sprayers,asphalt sprayers,
construction equipment > pipelayers,pipelayers,
construction equipment > crawler loaders,crawler loaders,
construction equipment > porta cabins,porta cabins,
construction equipment > demolition equipment,demolition equipment,
construction equipment > demolition equipment > demolition grapples,demolition grapples,
construction equipment > mining equipment,mining equipment,
construction equipment > scrapers,scrapers,
construction equipment > boring machines,boring machines,
construction equipment > landfill compactors,landfill compactors,
construction equipment > rebar bender,rebar bender,
construction equipment > portable power equipment,portable power equipment,
trucks and trailers,trucks and trailers,
trucks and trailers > trucks,trucks,
trucks and trailers > trucks > semi trucks,semi trucks,
trucks and trailers > trucks > dump trucks,dump trucks,
trucks and trailers > trucks > box body trucks,box body trucks,
trucks and trailers > trucks > articulated dump trucks,articulated dump trucks,
trucks and trailers > trucks > chassis trucks,chassis trucks,
trucks and trailers > trucks > hook loader trucks,hook loader trucks,
trucks and trailers > trucks > temperature controlled trucks,temperature controlled trucks,
trucks and trailers > trucks > flatbed trucks,flatbed trucks,
trucks and trailers > trucks > tankers,tankers,
trucks and trailers > trucks > tow tractor,tow tractor,
trucks and trailers > trucks > curtainsider trucks,curtainsider trucks,
trucks and trailers > trucks > off highway - rigid trucks,off highway - rigid trucks,
trucks and trailers > trucks > waste trucks,waste trucks,
trucks and trailers > trucks > skip trucks,skip trucks,
trucks and trailers > trucks > fire trucks,fire trucks,
trucks and trailers > trucks > terminal tractors,terminal tractors,
trucks and trailers > trucks > container frame trucks,container frame trucks,
trucks and trailers > trucks > demountable trucks,demountable trucks,
trucks and trailers > trucks > vacuum trucks,vacuum trucks,
trucks and trailers > trucks > off-highway trucks,off-highway trucks,
trucks and trailers > trucks > vocational trucks,vocational trucks,
trucks and trailers > trucks > livestock trucks,livestock trucks,
trucks and trailers > trailers,trailers,
trucks and trailers > trailers > curtainsider trailers,curtainsider trailers,
trucks and trailers > trailers > temperature controlled trailers,temperature controlled trailers,
trucks and trailers > trailers > tipping trailers,tipping trailers,
trucks and trailers > trailers > flatbed trailers,flatbed trailers,
trucks and trailers > trailers > box body semi trailers,box body semi trailers,
trucks and trailers > trailers > container chassis,container chassis,
trucks and trailers > trailers > lowbed trailers,lowbed trailers,
trucks and trailers > trailers > trailers - other,trailers - other,
trucks and trailers > trailers > low loader semi trailers,low loader semi trailers,
trucks and trailers > trailers > vehicle transporters,vehicle transporters,
trucks and trailers > trailers > cement mixer semi-trailers,cement mixer semi-trailers,
trucks and trailers > trailers > tanker trailers,tanker trailers,
trucks and trailers > trailers > tanker semi trailers,tanker semi trailers,
trucks and trailers > trailers > water tankers,water tankers,
trucks and trailers > trailers > fuel tankers,fuel tankers,
trucks and trailers > trailers > boxvan trailers,boxvan trailers,
trucks and trailers > trailers > dollies,dollies,
trucks and trailers > trailers > log loaders,log loaders,
trucks and trailers > trailers > cement tankers,cement tankers,
trucks and trailers > trailers > demountable semi trailers,demountable semi trailers,
trucks and trailers > trailers > semi trailer chassis,semi trailer chassis,
trucks and trailers > trailers > bitumen tankers,bitumen tankers,
trucks and trailers > trailers > drawbar trailers,drawbar trailers,
trucks and trailers > bowsers,bowsers,
trucks and trailers > sweepers,sweepers,
trucks and trailers > tracked dumpers,tracked dumpers,
trucks and trailers > containers,containers,
trucks and trailers > snow throwers,snow throwers,
lifting equipment,lifting equipment,
lifting equipment > lifts,lifts,
lifting equipment > lifts > forklifts,forklifts,
lifting equipment > lifts > scissor lifts,scissor lifts,
lifting equipment > lifts > telescopic handlers,telescopic handlers,
lifting equipment > lifts > articulated boom lifts,articulated boom lifts,
lifting equipment > lifts > aerial lifts,aerial lifts,
lifting equipment > lifts > telescopic boom lifts,telescopic boom lifts,
lifting equipment > lifts > mast lifts,mast lifts,
lifting equipment > lifts > spider lift,spider lift,
lifting equipment > lifts > reach trucks,reach trucks,
lifting equipment > lifts > rough terrain forklifts,rough terrain forklifts,
lifting equipment > lifts > side loaders,side loaders,
lifting equipment > lifts > pedestrian pallet truck,pedestrian pallet truck,
lifting equipment > cranes,cranes,
lifting equipment > cranes > all terrain cranes,all terrain cranes,
lifting equipment > cranes > truck cranes,truck cranes,
lifting equipment > cranes > crawler cranes,crawler cranes,
lifting equipment > cranes > rough terrain cranes,rough terrain cranes,
lifting equipment > cranes > tower cranes,tower cranes,
