hierarchy,name,description
metalworking machinery, metalworking machinery  ,
metalworking machinery >  3d printing technologies, 3d printing technologies  ,
metalworking machinery >  boring machines, boring machines  ,
metalworking machinery >  boring machines >  floor type boring mills, floor type boring mills ,
metalworking machinery >  cnc machining centres, cnc machining centres  ,
metalworking machinery >  cnc machining centres >  horizontal machining centres, horizontal machining centres ,
metalworking machinery >  cnc machining centres >  universal machining centres, universal machining centres ,
metalworking machinery >  cnc machining centres >  vertical machining centres, vertical machining centres ,
metalworking machinery >  drilling machines, drilling machines  ,
metalworking machinery >  drilling machines >  bench drilling machines (metal), bench drilling machines (metal) ,
metalworking machinery >  drilling machines >  deep hole drilling machines, deep hole drilling machines ,
metalworking machinery >  drilling machines >  other drilling machines (stationary), other drilling machines (stationary) ,
metalworking machinery >  drilling machines >  pillar or column drilling machines, pillar or column drilling machines ,
metalworking machinery >  drilling machines >  radial drilling machines, radial drilling machines ,
metalworking machinery >  edm (electrical discharge machining), edm (electrical discharge machining)  ,
metalworking machinery >  edm (electrical discharge machining) >  die sinking edm machines, die sinking edm machines ,
metalworking machinery >  edm (electrical discharge machining) >  start hole erosion machines, start hole erosion machines ,
metalworking machinery >  edm (electrical discharge machining) >  wire edm machines, wire edm machines ,
metalworking machinery >  forging machines, forging machines  ,
metalworking machinery >  forging machines >  forging hammers, forging hammers ,
metalworking machinery >  foundry machinery, foundry machinery  ,
metalworking machinery >  foundry machinery >  die casting machines, die casting machines ,
metalworking machinery >  foundry machinery >  furnaces, furnaces ,
metalworking machinery >  foundry machinery >  sand processing, sand processing ,
metalworking machinery >  gear cutting machines, gear cutting machines  ,
metalworking machinery >  gear cutting machines >  gear grinding machines, gear grinding machines ,
metalworking machinery >  gear cutting machines >  gear measuring machines, gear measuring machines ,
metalworking machinery >  gear cutting machines >  hobbing machines, hobbing machines ,
metalworking machinery >  gear cutting machines >  other gear cutting machines, other gear cutting machines ,
metalworking machinery >  gear cutting machines >  thread milling machines, thread milling machines ,
metalworking machinery >  grinding machines, grinding machines  ,
metalworking machinery >  grinding machines >  bench grinders, bench grinders ,
metalworking machinery >  grinding machines >  centreless grinding machines, centreless grinding machines ,
metalworking machinery >  grinding machines >  cylindrical grinders, cylindrical grinders ,
metalworking machinery >  grinding machines >  horizontal & double disc grinding machines, horizontal & double disc grinding machines ,
metalworking machinery >  grinding machines >  internal and face grinding machines, internal and face grinding machines ,
metalworking machinery >  grinding machines >  jig grinding machines, jig grinding machines ,
metalworking machinery >  grinding machines >  knife grinding machines, knife grinding machines ,
metalworking machinery >  grinding machines >  other grinding machines, other grinding machines ,
